N,P,K,temperature,humidity,ph,rainfall,label
23,59,41,26.09,54.67,6.78,20.22,mungbean
30,9,23,25.13,82.78,7.01,172.72,coconut
86,55,57,26.02,63.89,5.89,99.77,maize
76,24,37,27.17,82.02,6.14,36.18,muskmelon
75,45,55,26.84,58.82,6.7,80.71,maize
26,63,38,18.24,47.97,6.03,40.51,kidneybeans
0,56,32,26.62,87.9,5.64,101.04,pomegranate
64,58,53,22.81,78.79,5.92,49.62,papaya
74,47,49,22.53,44.32,6.99,110.26,wheat
93,52,60,19.15,83.6,7.17,132.2,cotton
50,40,82,27.49,95.35,5.72,86.75,papaya
11,76,40,22.79,55.45,5.92,68.87,mothbeans
40,64,48,17.43,67.59,5.23,67.13,kidneybeans
21,145,179,22.26,89.44,6.86,105.31,apple
88,20,7,26.68,81.14,7.04,166.78,coffee
92,5,45,26.28,87.15,6.63,34.3,watermelon
102,25,52,30.57,87.76,6.47,81.05,watermelon
48,129,191,24.35,95.67,6.89,157.23,apple
12,24,59,29.09,100.0,6.78,134.25,coconut
41,75,30,21.1,49.36,6.35,24.86,mothbeans
20,4,22,29.97,55.49,6.96,92.03,mango
21,40,32,26.61,88.64,6.38,85.26,papaya
36,38,0,27.33,71.11,7.72,138.3,coconut
124,40,43,24.31,74.99,5.95,115.04,cotton
15,76,15,16.25,64.75,5.35,41.59,kidneybeans
31,66,32,25.55,50.21,6.35,47.98,mothbeans
12,80,0,29.94,56.21,7.63,64.03,blackgram
105,89,55,31.88,81.89,5.81,82.11,banana
0,116,200,18.02,100.0,5.47,90.0,apple
70,61,34,17.77,42.55,7.1,62.99,wheat
31,71,26,24.0,53.32,7.3,42.87,mothbeans
34,67,43,27.08,44.77,6.51,48.82,mothbeans
103,30,9,18.16,71.11,6.3,177.44,coffee
15,50,44,29.41,51.06,7.16,10.68,mungbean
3,49,43,15.6,63.1,5.92,231.08,pigeonpeas
146,47,16,23.39,81.08,5.19,118.35,cotton
96,33,29,24.55,86.11,6.76,301.32,rice
88,48,37,26.3,88.6,6.91,237.64,rice
21,57,23,23.35,50.58,7.23,29.44,lentil
81,39,37,26.17,62.02,7.36,95.01,maize
122,64,48,24.45,79.25,6.9,68.31,cotton
18,72,29,29.91,57.07,7.1,0.0,mungbean
125,68,47,25.46,86.34,7.67,88.62,cotton
28,78,5,23.49,49.03,6.17,53.84,mungbean
11,136,196,21.01,90.64,6.52,129.03,apple
17,66,31,21.7,57.88,6.68,0.0,lentil
10,141,216,20.5,94.26,5.98,171.14,apple
18,113,206,18.68,90.81,6.23,83.06,apple
65,52,47,26.89,79.53,6.38,186.29,jute
19,133,198,26.82,67.76,5.75,79.52,grapes
20,58,29,29.04,87.74,7.46,71.86,pomegranate
4,142,191,21.66,87.94,5.56,36.91,grapes
28,70,35,30.95,43.8,6.79,29.86,mungbean
110,1,47,26.62,88.78,5.14,59.15,watermelon
140,61,56,24.46,82.55,7.09,115.59,cotton
19,49,2,21.0,52.62,6.02,57.96,lentil
101,74,46,33.01,77.54,6.18,118.53,banana
84,63,27,27.02,58.35,6.45,93.61,wheat
126,35,40,27.41,82.48,6.22,63.54,cotton
40,122,204,22.47,81.46,6.95,44.32,grapes
12,64,28,31.5,58.18,5.8,55.06,lentil
82,41,27,24.62,60.2,6.75,141.17,wheat
12,67,31,25.5,42.97,6.87,34.06,mothbeans
104,28,57,32.26,69.4,6.33,74.59,muskmelon
42,24,14,22.44,56.19,5.89,65.58,mango
94,74,70,24.66,85.88,5.72,93.49,banana
87,56,62,25.34,74.88,5.93,97.36,cotton
115,0,48,25.31,79.38,6.69,83.02,watermelon
0,87,28,23.5,53.17,7.84,41.57,blackgram
33,85,10,27.23,32.64,5.9,26.03,mothbeans
39,68,21,27.61,74.03,6.56,39.86,blackgram
34,142,215,30.04,81.95,6.64,36.92,grapes
0,70,27,29.13,56.34,7.08,21.51,mungbean
28,48,47,18.89,70.11,6.33,74.19,kidneybeans
