crop,area,rainfall,temperature,humidity,fertilizer,season,yield
Maize,11.18,150.57,21.22,65.33,62.35,Rabi,6.503
Wheat,17.95,64.06,10.91,67.32,165.49,Zaid,1.614
Soybean,13.84,288.18,11.36,45.92,14.82,Kharif,0.902
Wheat,4.95,164.36,37.98,42.84,125.64,Zaid,2.56
Rice,10.52,68.41,39.64,84.3,224.85,Rabi,1.406
Soybean,13.98,166.29,23.89,87.85,237.17,Zaid,1.2
Sugarcane,12.9,361.08,24.84,63.34,151.02,Rabi,60.869
Sugarcane,1.94,269.59,21.58,60.22,232.11,Kharif,64.137
Tea,3.87,257.15,22.39,51.42,209.28,Zaid,1.168
Wheat,0.96,317.02,27.69,42.69,117.8,Rabi,2.769
Wheat,2.66,386.86,30.58,61.98,151.02,Zaid,2.373
Soybean,6.51,44.04,15.36,73.45,17.42,Rabi,0.779
Rice,12.63,66.98,18.52,91.05,113.13,Zaid,1.718
Maize,10.72,379.71,31.23,84.96,139.61,Zaid,4.305
Sugarcane,14.66,388.62,36.47,62.63,240.19,Kharif,47.457
Wheat,3.48,184.17,16.18,70.34,23.56,Zaid,2.335
Wheat,19.03,89.85,19.91,93.46,24.62,Zaid,1.828
Pulses,6.57,355.8,25.12,37.93,63.93,Kharif,0.812
Rice,16.25,37.99,17.25,36.21,59.56,Kharif,1.599
Rice,12.71,36.42,19.06,93.74,134.88,Kharif,1.637
Soybean,11.97,239.32,28.5,33.92,112.58,Zaid,1.315
Tea,12.78,112.37,30.31,54.51,245.3,Kharif,1.371
Maize,17.19,378.58,33.32,80.15,39.59,Zaid,3.576
Cotton,16.74,347.63,15.01,72.28,234.25,Zaid,1.136
Wheat,2.49,242.16,16.57,59.8,213.65,Zaid,2.325
Soybean,14.76,200.58,14.74,48.38,5.4,Kharif,0.929
Sugarcane,2.67,354.51,19.97,50.86,149.31,Kharif,64.727
Cotton,13.62,381.95,35.66,31.09,31.29,Kharif,1.048
Wheat,18.57,350.38,38.08,78.08,243.42,Zaid,1.95
Pulses,1.74,363.07,35.26,52.54,6.91,Zaid,0.434
Sugarcane,3.57,270.65,21.35,75.49,170.63,Zaid,61.038
Tea,4.77,96.17,19.33,71.97,67.5,Rabi,1.463
Pulses,9.57,201.46,38.48,67.22,106.5,Rabi,1.07
Wheat,19.35,303.98,27.7,90.51,160.54,Zaid,2.315
Tea,5.46,281.98,24.51,49.01,41.02,Kharif,1.449
Cotton,15.59,265.36,22.91,35.03,157.75,Rabi,1.529
Maize,18.9,192.4,24.16,72.87,145.88,Kharif,6.903
Pulses,5.63,208.38,20.19,77.78,74.57,Rabi,1.016
Tea,3.94,262.32,33.33,67.75,100.75,Zaid,1.397
Rice,11.26,328.42,24.04,82.52,1.86,Kharif,1.426
Cotton,14.75,144.49,38.3,72.92,102.55,Zaid,1.778
Rice,4.22,99.13,23.3,76.51,102.63,Kharif,2.726
Pulses,1.35,392.91,14.31,85.47,31.74,Zaid,0.473
Wheat,14.16,81.54,21.66,66.02,44.48,Rabi,2.954
Soybean,19.95,232.5,25.45,52.37,139.58,Kharif,1.915
Pulses,19.51,243.78,21.19,39.4,17.27,Rabi,0.671
Cotton,14.75,280.63,34.78,63.99,193.02,Kharif,1.77
Rice,19.58,296.59,26.3,30.73,188.93,Zaid,1.641
Wheat,15.17,126.52,18.25,89.68,161.12,Zaid,2.355
Maize,17.3,250.99,31.25,43.71,6.07,Kharif,3.607
Cotton,1.27,192.21,34.66,46.25,152.13,Rabi,1.542
Maize,19.55,287.93,16.82,79.11,46.33,Kharif,5.474
Soybean,16.57,348.03,14.73,35.17,101.86,Zaid,0.979
Tea,19.31,325.3,15.02,84.4,80.68,Zaid,1.017
Pulses,14.66,181.24,23.5,49.62,178.54,Kharif,0.888
Rice,8.25,149.13,27.85,58.69,233.21,Kharif,2.371
